기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
APS,550.5,-161.8,30.7,3667.75,2108.6,109.0,-100.75,-179.3,1131.45,-31.839,2.869500000000001,1.973,0.7309999999999999,73.862,180.5,-12.573055038998813,10894.85,0.883,20244221.0
DB하이텍,12376.05,3597.65,3102.2,20087.05,16075.55,2226.0,4070.0,2144.6,1490.9,27.425,24.1555,23.072,17.228500000000004,27.358000000000004,6970.05,7.8889999999999985,37737.8,1.4685000000000001,44398588.0
GST,2985.85,485.15,399.15,2658.6,2131.05,60.8,402.7,262.75,93.5,15.942000000000002,13.1745,21.2665,16.5775,25.3705,2101.85,7.0545,11385.1,1.301,18561782.0
HLB이노베이션,304.85,-38.65,-16.2,1309.6,1050.95,416.9,-17.7,-81.65,193.45,-15.403499999999998,-7.9125,2.8368095238095234,1.2189402985074629,64.8995,8.9,-84.95899012521632,990.4,2.9625,83307187.05
ISC,1570.65,347.3,337.15,4452.05,3795.65,95.25,422.65,279.9,315.75,21.2385,20.342999999999996,10.426000000000002,8.564499999999999,20.2845,1783.15,47.6445,20017.65,2.697,19034204.3
KEC,2361.5,-48.95,-112.5,4242.15,3135.7,864.0,156.35,-16.6,540.9,-2.8455000000000004,-5.846500000000001,-4.1754999999999995,-2.73,39.773,-67.85,2.905039038845584,1730.9,1.0565,177447725.4
KX하이텍,1328.5,92.8,78.8,1858.9,1137.65,269.1,134.65,23.6,381.05,7.189,5.73,7.142,4.341499999999999,62.51299999999999,147.35,13.7055,2102.35,0.6095,53763394.55
LB세미콘,4631.25,134.55,67.95,7508.15,3437.45,219.0,850.35,-452.95,3224.25,2.4550000000000005,1.0479999999999996,3.115000000000001,1.3864999999999998,119.59700000000001,118.0,-1.1571731408693282,5427.55,1.5079999999999998,43784592.0
NPX,108.7,-17.15,-24.25,246.45,209.45,44.1,-21.45,-21.65,9.85,-52.74100000000001,-58.80649999999999,-6.2095,-8.9565,33.019999999999996,-261.15,81.88300833049985,2327.85,3.1994999999999996,8856027.15
SFA반도체,5176.8,226.6,217.55,6305.65,4630.65,825.0,674.8,329.05,1129.7,3.151,3.586,5.3325,3.4405,37.292500000000004,129.8,0.2732215189873443,2717.35,1.89,164460303.0
SK하이닉스,466133.55,88323.0,60213.55,1033827.75,627283.35,36577.0,171655.2,36186.95,248805.75,13.6895,7.850500000000001,9.604499999999998,6.0245,65.298,8269.65,7.2953435727410705,91160.7,1.4785,728002365.0
네오셈,821.65,105.75,114.85,1150.5,808.85,41.05,117.9,80.95,134.4,13.3625,14.145500000000002,15.797,10.573000000000002,50.370000000000005,279.55,23.319499999999998,2015.6,2.9770000000000003,41122397.1
네온테크,750.25,5.75,-35.35,1192.4,487.75,41.5,-27.2,-66.75,371.3,-0.2625,-6.508,-12.367500000000001,-4.4025,139.907,-111.15,-37.49003619540762,1012.25,3.0140000000000002,41401936.95
네패스,4712.6,-6.15,-429.45,9260.9,2775.0,116.0,882.65,-594.7,5473.15,-0.16349999999999992,-10.618500000000001,-25.0075,-5.1755,238.40950000000004,-1674.05,-6.3016764448175895,7299.75,2.673,23059202.0
뉴파워프라즈마,3715.9,213.5,232.5,7070.85,2994.4,44.0,394.3,45.0,2027.5,6.0009999999999994,8.7,11.050999999999998,4.236,135.37550000000002,537.7,9.689499999999999,5808.1,0.8875,43692624.0
다원넥스뷰,127.75,3.65,5.7,169.8,32.9,6.4,15.2,8.3,35.45,-0.15049999999999955,5.313000000000002,-51.9345,12.997499999999999,138.346,111.5,202.33366504111683,367.25,6.53477792732167,5951981.6
덕산테코피아,1003.35,-40.5,-197.35,4408.95,1901.95,95.0,-115.45,-832.1,1507.2,-4.353999999999999,-20.319499999999998,-5.300031645569621,-1.7799970674486807,127.78500000000001,-515.35,-4.486084672675931,9701.35,2.3525,19007174.8
덕산하이메탈,1592.0,36.3,177.2,5775.8,3650.4,79.5,49.5,-78.2,1560.0,2.1414999999999997,13.1965,5.674,4.1160000000000005,50.955,331.5,28.1935,6358.2,0.9814999999999999,45437002.0
동운아나텍,940.6,81.25,101.25,803.4,468.55,91.55,139.4,129.85,185.45,2.575,3.6049999999999995,10.596,10.911,106.70150000000001,481.5,29.14101865141459,2352.55,6.502,20212387.2
동진쎄미켐,13093.2,1821.7,1291.3,15556.2,7831.05,257.0,1592.0,-24.95,5860.45,13.815999999999999,9.7965,19.7865,9.2715,100.2455,2609.4,13.931000000000001,14903.4,2.5275000000000007,51414494.0
두산테스나,2965.35,511.85,445.75,7061.2,3559.1,91.6,1791.2,-69.25,2917.6,18.5855,16.567500000000003,14.453275531185744,6.978048812999873,101.6455,2532.4,16.1115,19350.85,2.241,16691622.55
디아이,2142.45,77.2,72.25,2810.7,1597.55,172.0,24.75,-34.0,734.05,3.5435000000000003,3.2855,4.8625,2.8259999999999996,75.5285,223.25,134.0355,5711.5,1.5205000000000002,29099196.25
