기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
BGF리테일,83503.0,2522.6666666666665,1951.1666666666667,32653.666666666668,11106.5,173.0,7051.666666666667,1410.5,3.026666666666667,2.3400000000000003,18.694999999999997,6.23,194.55166666666665,11290.833333333334,11.531666666666666,64292.666666666664,2.0833333333333335,17283906.0
BNK금융지주,94992.33333333333,8977.0,7401.666666666667,1476518.8333333333,109300.16666666667,16297.0,-682.0,200238.33333333334,9.673333333333334,7.916666666666667,6.971666666666667,0.515,1250.6616666666666,2191.6666666666665,3.936666666666667,32440.166666666668,0.26333333333333336,321903717.1666667
CJ,424284.0,23124.833333333332,3649.6666666666665,475231.6666666667,177930.66666666666,1790.0,47619.0,186962.33333333334,5.44,0.8783333333333333,2.785,0.7799999999999999,167.095,4173.5,25.823333333333334,161977.16666666666,0.585,29176998.0
CJ대한통운,120028.16666666667,4940.5,2479.1666666666665,96067.0,41328.833333333336,1141.0,6857.833333333333,34261.5,4.116666666666667,2.061666666666667,6.228333333333334,2.6066666666666665,132.48999999999998,10057.666666666666,10.14,189060.0,0.535,22812344.0
CJ제일제당,293673.0,14844.833333333334,5011.833333333333,299459.6666666667,119695.33333333333,819.0,22138.0,114893.5,5.05,1.7033333333333331,4.378333333333333,1.7016666666666669,150.3,18439.0,20.451666666666668,464422.6666666667,0.6533333333333333,15054186.0
DB손해보험,206599.33333333334,24117.833333333332,18473.166666666668,628723.8333333334,101508.83333333333,354.0,36154.5,9644.833333333334,11.725,8.979999999999999,18.353333333333335,3.0066666666666664,527.5466666666666,26049.166666666668,3.4800000000000004,167599.0,0.5483333333333333,70800000.0
DL,53425.833333333336,3039.0,234.33333333333334,123081.83333333333,46713.166666666664,1387.0,4248.666666666667,58024.5,5.591666666666666,0.35833333333333334,0.27999999999999997,0.21333333333333335,163.535,522.0,4.303089017079516,176354.5,0.24166666666666667,20955884.0
DL이앤씨,80723.66666666667,3285.1666666666665,2539.3333333333335,94666.83333333333,47945.333333333336,2219.5,1963.8333333333333,12056.5,4.114999999999999,3.1833333333333336,5.375,2.7550000000000003,97.40500000000002,5737.5,6.336666666666667,113909.33333333333,0.295,38693623.0
F&F,19089.833333333332,4967.666666666667,3934.5,20730.166666666668,13850.833333333334,38.0,4199.5,3104.6666666666665,26.018333333333334,20.623333333333335,35.50666666666667,21.66166666666666,50.92666666666667,10324.666666666666,7.653333333333333,36087.0,2.5316666666666667,38307075.0
GKL,3741.1666666666665,338.3333333333333,273.6666666666667,6228.166666666667,4077.6666666666665,309.0,717.8333333333334,691.1666666666666,8.236666666666666,6.406666666666666,6.695,4.31,52.81999999999999,442.0,8.113550724637681,6592.833333333333,2.0116666666666663,61855670.0
GS,260720.0,36240.666666666664,13717.666666666666,346682.0,178582.33333333334,4735.0,26759.333333333332,115633.66666666667,13.811666666666667,5.180000000000001,8.553333333333333,4.051666666666667,94.36,11343.5,4.596666666666667,143594.5,0.2816666666666667,92915378.0
