기업명,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,당기순이익(지배),당기순이익(비지배),자산총계,부채총계,자본총계,자본총계(지배),자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
삼성전자(2020/12),2368070.0,359939.0,359939.0,363451.0,264078.0,260908.0,3170.0,3782357.0,1022877.0,2759480.0,2676703.0,82777.0,8975.0,652870.0,-536286.0,-83278.0,375920.0,276950.0,202174.0,15.2,11.15,9.98,7.23,37.07,30692.79,3841.0,21.09,39406.0,2.06,2994.0,3.7,77.95,5969782550.0
삼성전자(2021/12),2796048.0,516339.0,516339.0,533518.0,399074.0,392438.0,6637.0,4266212.0,1217212.0,3048999.0,2962377.0,86622.0,8975.0,651054.0,-330478.0,-239910.0,471221.0,179833.0,183921.0,18.47,14.27,13.92,9.92,39.92,33143.62,5777.0,13.55,43611.0,1.8,1444.0,1.84,25.0,5969782550.0
삼성전자(2022/12),3022314.0,433766.0,433766.0,464405.0,556541.0,547300.0,9241.0,4484245.0,936749.0,3547496.0,3451861.0,95635.0,8975.0,621813.0,-316028.0,-193900.0,494304.0,127509.0,103332.0,14.35,18.41,17.07,12.72,26.41,38144.29,8057.0,6.86,50817.0,1.09,1444.0,2.61,17.92,5969782550.0
삼성전자(2023/12),2589355.0,65670.0,65670.0,110063.0,154871.0,144734.0,10137.0,4559060.0,922281.0,3636779.0,3532338.0,104441.0,8975.0,441374.0,-169228.0,-85931.0,576113.0,-134739.0,126859.0,2.54,5.98,4.15,3.43,25.36,39114.28,2131.0,36.84,52002.0,1.51,1444.0,1.84,67.78,5969782550.0
삼성전자(2024/12),3008709.0,327260.0,327260.0,375297.0,344514.0,336214.0,8300.0,5145319.0,1123399.0,4021921.0,3916876.0,105045.0,8975.0,729826.0,-853817.0,-77972.0,514064.0,215763.0,193302.0,10.88,11.45,9.03,7.1,27.93,41772.84,4950.0,10.75,57981.0,0.92,1446.0,2.72,29.18,5969782550.0
삼성전자(2025/12)(예측),3228625.0,338160.0,,387637.0,330636.0,323094.0,,5348783.0,1139936.0,4208847.0,4106184.0,,8966.0,712579.0,-584222.0,-101086.0,535716.0,179418.0,,10.47,10.24,8.05,6.3,27.08,,4791.0,11.65,61423.0,0.91,1517.0,2.72,27.79,
삼성전자(2026/12)(예측),3430457.0,429415.0,,480150.0,402718.0,393816.0,,5712702.0,1162495.0,4550207.0,4443368.0,,8966.0,803684.0,-602729.0,-93624.0,557890.0,198268.0,,12.52,11.74,9.21,7.28,25.55,,5847.0,9.54,66467.0,0.84,1462.0,2.62,21.97,
삼성전자(2027/12)(예측),3516940.0,436453.0,,503030.0,414225.0,405097.0,,6154202.0,1188371.0,4965831.0,4839168.0,,8958.0,865146.0,-633243.0,-104945.0,580694.0,240282.0,,12.41,11.78,8.73,6.98,23.93,,6014.0,9.28,72387.0,0.77,1446.0,2.59,21.13,
SK하이닉스(2020/12),319004.0,50126.0,50126.0,62370.0,47589.0,47551.0,38.0,711739.0,192648.0,519091.0,518885.0,206.0,36577.0,123146.0,-118404.0,2521.0,100687.0,22459.0,128954.0,15.71,14.92,9.53,6.98,37.11,1398.15,6532.0,18.14,75860.0,1.56,1170.0,0.99,16.83,728002365.0
SK하이닉스(2021/12),429978.0,124103.0,124103.0,134160.0,96162.0,96023.0,139.0,963465.0,341555.0,621911.0,621571.0,340.0,36577.0,197976.0,-223923.0,44923.0,124866.0,73110.0,191496.0,28.86,22.36,16.84,11.48,54.92,1643.64,13190.0,9.93,90394.0,1.45,1540.0,1.18,11.03,728002365.0
